,VEH1W
Arpc5l,15.48810297
Arpin,13.8629599
Arpp19,14.70791685
Arrb1,17.7471034
Arsa,15.59897186
Arsb,13.86378955
Art3,16.1439701
Asah1,17.66218874
Asl,17.51075574
Asna1,15.60858254
Asns,16.23331947
Aspa,15.71885766
Asph,18.79727596
Aspn,17.43051504
Aspscr1,16.45248774
Asrgl1,17.08596968
Ass1,16.69480388
Atad1,14.74674214
Atad3,16.31313965
Ate1,13.66372626
Atg3,15.56459422
Atic,18.53734595
Atl2,16.36557836
Atl3,17.31041866
Atox1,16.7368802
Atp12a,12.03732941
Atp13a1,16.98644759
Atp1a1,19.01731186
Atp1a2,17.96438086
Atp1b3,16.53779936
Atp2a2,19.25853056
Atp2a3,15.66971778
Atp2b1,16.75496125
Atp2b4,18.26584419
Atp5a1,19.84687726
Atp5b,19.91894775
Atp5c1,18.43793714
Atp5d,16.18654942
Atp5e,15.36255948
Atp5f1,17.99677065
Atp5h,18.70710784
Atp5i,16.82929719
Atp5j,16.72287983
Atp5j2,15.19938848
Atp5l,16.52252658
Atp5o,17.76405627
Atp6v0a1,17.69733913
Atp6v0a2,12.34427783
Atp6v0d1,17.00037696
Atp6v1a,18.6706925
Atp6v1b2,17.9794134
Atp6v1c1,17.77232356
Atp6v1d,16.06829233
Atp6v1e1,17.81027839
Atp6v1f,15.36127542
Atp6v1g1,16.91944354
Atp6v1h,16.49743563
Atpaf1,14.19156946
Atpif1,16.10964597
Atxn10,16.11094762
Atxn2,16.57178605
Atxn2l,16.02001122
Auh,16.98743061
Aup1,15.23487182
Azgp1,16.40332391
B2m,17.70551987
Babam1,14.19267497
Bag1,16.4846214
Bag3,17.31988539
Bag5,16.41752044
Bag6,16.95541275
Bak1,14.50153021
Basp1,17.51527314
Bax,15.85456328
Baz1b,15.61597634
Bcam,16.60945601
Bcap29,16.23851157
Bcap31,19.87376739
Bcas2,14.21535419
Bcat2,17.52571298
Bche,14.16680495
Bckdha,16.76038503
Bckdhb,13.84406132
Bckdk,14.14690013
Bcl2l1,13.96450838
Bcl2l13,16.85941187
Bclaf1,16.67274843
Bcs1l,14.34227829
Bet1,14.3706685
Bfar,13.91109235
Bgn,17.69196338
Bicd2,15.31740839
Bin1,16.32714121
Birc6,16.45783099
Bles03,16.01709936
Blmh,16.66256981
Blvra,18.00897106
Blvrb,17.1786789
Bnip1,15.33484176
Bnip3,15.28241253
Bod1l,14.27849555
Bola1,14.78629541
Bola3,15.5187253
Bpgm,17.42753667
Bphl,15.85808119
Bpnt1,17.29530917
Brd3,13.17863504
Brd4,16.58522823
Brox,14.54881617
Bsdc1,12.8497629
Bsg,17.99425989
Bst2,15.76340456
Btf3l4,13.57321759
Btnl9,12.64752799
Bub3,16.62872111
Bud31,13.56870482
Bzw1,17.25675142
C1qbp,14.80193891
C1qc,16.39659417
C1qtnf9,15.87117618
C2cd3,16.49187314
C3,20.62615442
C4b,19.04525901
C4bpa,16.90604945
C5,17.35310002
C8a,17.41335202
C8b,17.12518971
C9,17.79174346
Ca1,17.75848146
Ca13,14.39556071
Ca2,18.38663484
Ca3,21.86190189
Ca4,15.80760972
Ca5b,17.43063839
Cab39,15.84354659
