"","sample","PC1","PC2","label","tissue","diet","batch"
"38","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_4_3421",15.682245028625,-3.36491131805137,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"39","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_5_4226",17.017230799441,-10.3869420309237,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"40","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_1_1427",8.49922614861982,-0.340005271639225,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"41","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_2_1857",28.0338356152364,-12.7830287804936,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"42","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_3_2127",-11.9871845534854,-0.872223122148708,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"43","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_4_2145",-40.8488264560595,6.34539939981106,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"44","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_5_3253",2.92613551282973,-6.89580952975526,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"45","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_6_4222",-7.68406423037191,2.89559803754013,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"46","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_1_1096",-5.83732629290378,17.3313931701845,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"47","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_2_1544",5.14454801562826,-0.790549769078895,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"48","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_3_2005",-19.409641064611,-4.67220015787459,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"49","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_4_2179",-29.1853597132831,0.213713557191074,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"50","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_5_3416",-0.972442216816581,15.3388756287548,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"51","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_6_4224",5.16349095583544,1.86076694997322,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"52","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_1_1106",2.55575809171934,15.9581897173584,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"53","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_2_1541",16.7045105342884,-7.69532052059311,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"54","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_3_2002",16.3203410075816,-3.11672710649974,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"55","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_4_2172",0.549893743443789,-15.2290345589259,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"56","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_5_3421",13.4019305373142,1.43647143043699,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"57","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_6_4226",15.3099253116107,8.45478538524428,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"58","Melina-Melina-Cold1",-4.377348434736,1.33433269148963,"BAT-CD","BAT","CD","Melina"
"59","Melina-Melina-Cold2",-6.77507854576235,2.69327895334298,"BAT-CD","BAT","CD","Melina"
"60","Melina-Melina-Cold3",-3.86490454156252,0.0340021031107853,"BAT-CD","BAT","CD","Melina"
"61","Melina-Melina-Cold4",-5.64192279947511,0.49816414792203,"BAT-CD","BAT","CD","Melina"
"62","Melina-Melina-Cold5",-2.94785275641804,-0.343221535504998,"BAT-CD","BAT","CD","Melina"
"63","Melina-Melina-Cold6",-1.70950804975003,0.447633475909823,"BAT-CD","BAT","CD","Melina"
"64","Melina-Melina-RT1",13.7039703862787,-5.35304871350084,"BAT-CD","BAT","CD","Melina"
"65","Melina-Melina-RT2",10.9039552982176,-6.05287289909477,"BAT-CD","BAT","CD","Melina"
"66","Melina-Melina-RT3",-0.124978762354711,0.858632261962539,"BAT-CD","BAT","CD","Melina"
"67","Melina-Melina-RT4",0.10237917718511,-1.51935671358996,"BAT-CD","BAT","CD","Melina"
"68","Melina-Melina-RT5",-2.5716571240316,-1.11068013861567,"BAT-CD","BAT","CD","Melina"
"69","Melina-Melina-RT6",-1.99457518797723,-1.77418991909583,"BAT-CD","BAT","CD","Melina"
"70","Oeckl-Oeckl-iBAT.T23.WT_1",-13.4810271274755,-12.7337359314031,"BAT-Standard Diet","BAT","CD","Oeckl"
"71","Oeckl-Oeckl-iBAT.T23.WT_2",-13.628591217054,-11.2662115602049,"BAT-Standard Diet","BAT","CD","Oeckl"
"72","Oeckl-Oeckl-iBAT.T23.WT_3",-14.4341669825776,-14.5935115287394,"BAT-Standard Diet","BAT","CD","Oeckl"
"73","Oeckl-Oeckl-iBAT.T23.WT_4",-17.2652275410543,-13.4785544043563,"BAT-Standard Diet","BAT","CD","Oeckl"
"74","Oeckl-Oeckl-iWAT.T23.WT_1",13.6336367373011,14.3292993579312,"iWAT-Standard Diet","iWAT","CD","Oeckl"
"75","Oeckl-Oeckl-iWAT.T23.WT_2",18.5827035112681,14.3392945771235,"iWAT-Standard Diet","iWAT","CD","Oeckl"
"76","Oeckl-Oeckl-iWAT.T23.WT_3",12.1839566847513,11.0708482729407,"iWAT-Standard Diet","iWAT","CD","Oeckl"
"77","Oeckl-Oeckl-iWAT.T23.WT_4",15.6095802601274,9.34842805381297,"iWAT-Standard Diet","iWAT","CD","Oeckl"
"78","Query-Query-Log2 LFQ_2D-Culture_01",7.01095479119536,18.1273646872588,"NA-NA",NA,NA,"Query"
"79","Query-Query-Log2 LFQ_2D-Culture_02",16.2663538777961,18.9104484404537,"NA-NA",NA,NA,"Query"
"80","Query-Query-Log2 LFQ_2D-Culture_03",3.8087238692676,19.7547581342242,"NA-NA",NA,NA,"Query"
"81","Query-Query-Log2 LFQ_2D-Culture_04",5.46810791444432,22.9376388067603,"NA-NA",NA,NA,"Query"
"82","Query-Query-Log2 LFQ_2D-Culture_05",2.21045316813328,14.7645333121547,"NA-NA",NA,NA,"Query"
"83","Query-Query-Log2 LFQ_3D-Culture_06",2.52403011443963,11.7676001980033,"NA-NA",NA,NA,"Query"
"84","Query-Query-Log2 LFQ_3D-Culture_07",4.63485983131006,11.5137700735465,"NA-NA",NA,NA,"Query"
"85","Query-Query-Log2 LFQ_3D-Culture_08",2.47173891493473,11.1222445863932,"NA-NA",NA,NA,"Query"
"86","Query-Query-Log2 LFQ_3D-Culture_09",1.62345179829333,9.42604172143113,"NA-NA",NA,NA,"Query"
"87","Query-Query-Log2 LFQ_3D-Culture_10",2.56227992118008,11.5466301845878,"NA-NA",NA,NA,"Query"
"88","Query-Query-Log2 LFQ_Tissue_11",-13.2153275709571,-26.4646795670829,"NA-NA",NA,NA,"Query"
"89","Query-Query-Log2 LFQ_Tissue_12",-6.91840178044625,-30.3073921778302,"NA-NA",NA,NA,"Query"
"90","Query-Query-Log2 LFQ_Tissue_13",-9.51685633214718,-31.4381985625669,"NA-NA",NA,NA,"Query"
"91","Query-Query-Log2 LFQ_Tissue_14",-10.8953280477106,-30.4051633604657,"NA-NA",NA,NA,"Query"
"92","Query-Query-Log2 LFQ_Tissue_15",-9.62989704966583,-31.1618786459106,"NA-NA",NA,NA,"Query"
"93","Rhabi-Rhabi-VEH1B",-19.2103123071812,-10.901531055643,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"94","Rhabi-Rhabi-VEH1W",19.6731813398862,8.48770285080199,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"95","Rhabi-Rhabi-VEH2B",-19.3509748436038,-8.82746329474868,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"96","Rhabi-Rhabi-VEH2W",21.2376349996382,9.8849479075927,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"97","Rhabi-Rhabi-VEH3B",-19.9866303318277,-9.03665226249078,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"98","Rhabi-Rhabi-VEH3W",19.6857060870475,9.17390398625961,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"99","Rhabi-Rhabi-VEH4B",-20.0103858988016,-8.39223562283152,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"100","Rhabi-Rhabi-VEH4W",19.690952297099,12.0246736598116,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"101","Rhabi-Rhabi-VEH5B",-20.5045046066861,-9.36479748243611,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"102","Rhabi-Rhabi-VEH5W",20.4130191780007,10.5141766835081,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"103","WangBAT-WangBAT-Intensity of BAT_CD1",9.96632612198745,4.06611334980643,"BAT-Standard Diet","BAT","CD","WangBAT"
"104","WangBAT-WangBAT-Intensity of BAT_CD2",10.2572207988359,4.81072599246262,"BAT-Standard Diet","BAT","CD","WangBAT"
"105","WangBAT-WangBAT-Intensity of BAT_CD3",4.9556359024761,1.58856046630784,"BAT-Standard Diet","BAT","CD","WangBAT"
"106","WangBAT-WangBAT-Intensity of BAT_CD4",-4.24164783392939,15.0385145465214,"BAT-Standard Diet","BAT","CD","WangBAT"
"107","WangBAT-WangBAT-Intensity of BAT_CD5",-8.34692730352435,10.7468116903613,"BAT-Standard Diet","BAT","CD","WangBAT"
"108","WangBAT-WangBAT-Intensity of BAT_HFD1",3.9194152924434,-17.5674827900266,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"109","WangBAT-WangBAT-Intensity of BAT_HFD2",-4.89184575891752,-5.99400903970438,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"110","WangBAT-WangBAT-Intensity of BAT_HFD3",-15.1487525334222,-1.80417259791872,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"111","WangBAT-WangBAT-Intensity of BAT_HFD4",-0.668661449194692,-10.8669728790182,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"112","WangBAT-WangBAT-Intensity of BAT_HFD5",-1.33011197979863,-19.391599466142,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"113","WangWAT-WangWAT-Intensity of sWAT_CD1",-15.8171533941987,-2.39536766263697,"WAT-Standard Diet","WAT","CD","WangWAT"
"114","WangWAT-WangWAT-Intensity of sWAT_CD2",-13.7174074336724,5.7247120181009,"WAT-Standard Diet","WAT","CD","WangWAT"
"115","WangWAT-WangWAT-Intensity of sWAT_CD3",-6.28516716825378,-5.05748119111015,"WAT-Standard Diet","WAT","CD","WangWAT"
"116","WangWAT-WangWAT-Intensity of sWAT_CD4",-6.43421149167735,-13.045694495701,"WAT-Standard Diet","WAT","CD","WangWAT"
"117","WangWAT-WangWAT-Intensity of sWAT_CD5",-5.52847210628449,-16.4667456834867,"WAT-Standard Diet","WAT","CD","WangWAT"
"118","WangWAT-WangWAT-Intensity of sWAT_HFD1",12.9492781475794,-3.06154738755802,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"119","WangWAT-WangWAT-Intensity of sWAT_HFD2",4.67092554283656,9.30264776846274,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"120","WangWAT-WangWAT-Intensity of sWAT_HFD3",7.9455213893917,18.5719665662798,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"121","WangWAT-WangWAT-Intensity of sWAT_HFD4",16.3914136715578,5.02141933687832,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"122","WangWAT-WangWAT-Intensity of sWAT_HFD5",15.2080920751624,4.16186216701701,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"123","Williams-Williams-Whole CellBAT_101",6.90896715747014,-8.07813832873695,"BAT-Standard Diet","BAT","CD","Williams"
"124","Williams-Williams-Whole CellBAT_45",-4.08261268576675,-3.74332093239801,"BAT-Standard Diet","BAT","CD","Williams"
"125","Williams-Williams-Whole CellBAT_66",12.44010081156,-0.75878539781595,"BAT-Standard Diet","BAT","CD","Williams"
"126","Williams-Williams-Whole CellBAT_68",4.56919274233955,4.57336575764987,"BAT-Standard Diet","BAT","CD","Williams"
"127","Williams-Williams-Whole CellBAT_73",-3.303313590719,3.26967083216116,"BAT-Standard Diet","BAT","CD","Williams"
"128","Williams-Williams-Whole CellBAT_80",-4.28771024406972,0.389528060601317,"BAT-Standard Diet","BAT","CD","Williams"
"129","Williams-Williams-Whole CellBAT_C57",-7.68631638770828,5.54820573924054,"BAT-Standard Diet","BAT","CD","Williams"
"130","Williams-Williams-Whole CellBAT_DBA",-5.41612443870089,-3.51062657145034,"BAT-Standard Diet","BAT","CD","Williams"
