"ID","sample","batch"
"Query-Log2 LFQ_2D-Culture_05",120,13
"Query-Log2 LFQ_3D-Culture_06",121,13
"Query-Log2 LFQ_3D-Culture_07",122,13
"Query-Log2 LFQ_3D-Culture_08",123,13
"Query-Log2 LFQ_3D-Culture_09",124,13
"Query-Log2 LFQ_3D-Culture_10",125,13
"Query-Log2 LFQ_Tissue_11",126,13
"Query-Log2 LFQ_Tissue_12",127,13
"Query-Log2 LFQ_Tissue_13",128,13
"Query-Log2 LFQ_Tissue_14",129,13
"Query-Log2 LFQ_Tissue_15",130,13
